Date,Meal,Calories,Protein,Carbs,Fats
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
2025-06-19,Greek Yogurt With Mixed Berries,136.0,14.0,20.0,0.0
2025-06-19,2 Hard Boiled Eggs,140.0,12.0,1.0,11.0
2025-06-19,Double Greek Yogurt,172.0,25.0,18.0,0.0
2025-06-19,Protein Shake,120.0,24.0,3.0,1.0
2025-06-19,Chicken Pesto Parm,476.0,35.0,38.0,23.0
2025-06-19,Alora Lomo Soltado,740.0,35.0,80.0,35.0
2025-06-20,Greek Yogurt With Mixed Berries,136.0,14.0,20.0,0.0
2025-06-20,L&G Caesar,520.0,51.0,19.0,30.0
2025-06-20,Bagel w/ Cream Cheese,360.0,12.0,57.0,10.5
2025-06-20,Chicken Pesto Parm,476.0,35.0,38.0,23.0
2025-06-18,Greek Yogurt With Mixed Berries,136.0,14.0,20.0,0.0
2025-06-18,2 Hard Boiled Eggs,140.0,12.0,1.0,11.0
2025-06-18,Chicken Breast Lunch,476.0,45.0,50.0,12.0
2025-06-18,Double Greek Yogurt,172.0,25.0,18.0,0.0
2025-06-18,Protein Shake,120.0,24.0,3.0,1.0
2025-06-18,French Country Dinner,720.0,48.0,66.0,33.0
2025-06-17,Greek Yogurt With Mixed Berries,136.0,14.0,20.0,0.0
2025-06-17,2 Hard Boiled Eggs,140.0,12.0,1.0,11.0
2025-06-17,Double Greek Yogurt,172.0,25.0,18.0,0.0
2025-06-17,Protein Shake,120.0,24.0,3.0,1.0
2025-06-17,Sushi (random),712.0,40.0,84.0,27.0
2025-06-17,Tacos,472.0,35.0,33.0,25.0
2025-06-16,Greek Yogurt With Mixed Berries,136.0,14.0,20.0,0.0
2025-06-16,2 Hard Boiled Eggs,140.0,12.0,1.0,11.0
2025-06-16,Chicken Breast Lunch,476.0,45.0,50.0,12.0
2025-06-16,Double Greek Yogurt,172.0,25.0,18.0,0.0
2025-06-16,Protein Shake,120.0,24.0,3.0,1.0
2025-06-16,Mediterranean Chicken Kabob,628.0,40.0,47.0,35.0
2025-06-21,Skyr Yogurt w/ Granola,228.0,22.0,25.0,5.0
2025-06-21,2 Hard Boiled Eggs,140.0,12.0,1.0,11.0
2025-06-21,L&G Caesar,520.0,51.0,19.0,30.0
2025-06-21,Protein Shake,120.0,24.0,3.0,1.0
2025-06-21,French Country Dinner,720.0,48.0,66.0,33.0
2025-06-20,Double Greek Yogurt,172.0,25.0,18.0,0.0
2025-06-20,Protein Shake,120.0,24.0,3.0,1.0
2025-06-22,Skyr Yogurt w/ Granola,228.0,22.0,25.0,5.0
2025-06-22,2 Hard Boiled Eggs,140.0,12.0,1.0,11.0
2025-06-22,Chicken Pesto Parm,476.0,35.0,38.0,23.0
2025-06-22,Protein Shake,120.0,24.0,3.0,1.0
2025-06-22,French Country Dinner,720.0,48.0,66.0,33.0
